"ID","Fecha de evaluación (dd/mm/aaaa)","Edad","Género","Años de educacion","OCUPACIÓN U OFICIO","LATERALIDAD","BILINGÜE","ESTADO CIVIL ACTUAL","ÁREA DE RESIDENCIA","INGRESOS MENSUALES","CONSUMO DE ALCOHOL","TRABAJOS POR FUERA DE LA COMUNIDAD","SERVICIOS DE INTERNET","SERVICIOS DE SALUD","SERVICIO DE ELECTRICIDAD","AC_Hablar","AC_Leer","AC_Escribir","AC_Idioma_Infancia","AC_Idioma_casa","AC_Idioma_trabajo","AC_Idioma_amigos","AC_Idioma_pensamiento","AC_Amigos_cercanos","AC_Fiestas","AC_Visitas","AC_Amigos_hijos","AC_Rituales","AC_Religion","AC_Vestimenta","AC_Se_considera","Fecha de nacimiento (dd/mm/aaaa)","Mano dominante","Edad comienzo escuela","Residencia actual","Tiempo vivido aquí","Residencia en otro lugar","¿Dónde?...39","¿Cuánto tiempo?","Lugar de nacimiento","Curso de idioma","¿Qué idioma?","¿Dónde?...44","Idioma materno padre","Idioma materno madre","Idioma casa 1","Porcentaje","P_I_Idioma","P_I_Primer contacto","P_I_Guardería","P_I_Preescolar","P_I_Primaria","P_I_Secundaria","P_I_Bachiller","P_I_Universidad","P_I_Contextos específicos","P_I_Expresión","P_I_Comprensión","P_I_Lectura","P_I_Escritura","P_I_Acento","S_I_Idioma","S_I_Primer contacto","S_I_Guardería","S_I_Preescolar","S_I_Primaria","S_I_Secundaria","S_I_Bachiller","S_I_Universidad","S_I_Contextos específicos","S_I_Expresión","S_I_Comprensión","S_I_Lectura","S_I_Escritura","S_I_Acento","SF1","SF2","SF3","SF4","SF5","SF6","SF7","SF8","SF9","SF10","SF11","SF12","SF13","SF14","SF15","SF16","SF17","SF18","SF19","SF20","SF21","SF22","SF23","SF24","SF25","SF26","SF27","SF28","SF29","SF30","SF31","SF32","SF33","SF34","SF35","SF36","MMSE","PHQ-9","Bartel","Figura de rey puntuación copia","Figura de rey puntuación memoria inmediata","Fluidez verbal M","Fluidez verbal R","Fluidez verbal P","Fluidez semantica animales","Fluidez semantica frutas","HLVRT-R ensayo 1","HLVRT-R ensayo 2","HLVRT-R ensayo 3","Total recuerdo inmediato","HLVRT-R evocación tardía","Reconocimiento total correctas","Falsos positivos semanticamente relacionados","Falsos positivos no relacionados semanticamente","Número total errores","STROOP P","STROOP C","STROOP PC","STROOP pc Calculado","Interferencia","M-WCST categorías correctas","M-WCST perseveraciones","M-WCST errores","M-WCST total errores","TMT A tiempo (sg)","TMT B tiempo (sg)","BTA-N","BTA-L","Total","SDMT","Errores","AC_Religion_rec","AC_Hablar_inv","AC_Leer_inv","AC_Escribir_inv","AC_Idioma_Infancia_inv","AC_Idioma_casa_inv","AC_Idioma_trabajo_inv","AC_Idioma_amigos_inv","AC_Idioma_pensamiento_inv","AC_Rituales_inv","AC_sub_lenguaje","AC_sub_social","AC_sub_rituales","AC_sub_identidad","AC_total","AC_items_usados"
"AG40S3012",2020-07-18,40,"M",3,"artesania","Diestro","si","union civil","Rural",3e+05,"Nunca/casi nunca","Si","NO","NO","Si",3,1,1,4,3,3,3,3,3,3,4,3,5,6,3,5,"29106","derecha","6","Resguardo",7,"si","Bogota",15,"Florencia","No",NA,NA,"Embera","Embera","Embera",50,"Embera","Desde el nacimiento","NA","NA","5","NA","NA","NA","comunidad",5,5,0,0,5,"Español","5","NA","NA","5","NA","NA","NA","amigos",5,5,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,5,4,5,4,4,4,5,4,4,4,4,3,2,4,4,4,27,5,100,33,11,6,3,6,10,11,3,5,3,11,8,12,5,0,5,64,60,32,30.9677419354839,1.032258065,2,13,14,27,183,301,6,7,13,21,0,5,3,5,5,2,3,3,3,3,1,27,13,1,13,54,16
"AG27S3013",2020-07-18,27,"M",0,"artesania","Diestro","si","union civil","Rural",2e+05,"Nunca/casi nunca","Si","NO","NO","Si",3,5,5,5,3,2,3,2,4,3,3,3,5,1,3,5,"34029","derecha","NA","Resguardo",10,"si","Resguardo Hondura-Florencia",12,"Florencia","No",NA,NA,"Embera","Embera","Embera",80,"Embera","Desde el nacimiento","NA","NA","NA","NA","NA","NA","comunidad",5,5,0,0,5,"Español","12","NA","NA","NA","NA","NA","NA","otros",5,5,0,0,3,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,3,3,5,1,3,5,5,1,5,4,4,1,4,3,26,2,100,30,17,3,0,1,15,10,3,3,3,9,6,11,3,0,3,10,29,41,7.43589743589744,41,0,11,25,36,138,330,1,5,6,17,0,NA,3,1,1,1,3,4,3,4,1,20,13,1,8,42,15
"AG45S2014",2020-07-18,45,"H",5,"Agricultura","Diestro","si","soltero/a","Rural",150000,"Nunca/casi nunca","Si","NO","NO","Si",4,3,3,5,5,4,4,5,2,2,2,3,5,2,2,1,"27440","derecha","8","Resguardo",7,"si","Resguardo Hondura-Florencia",14,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","5","NA","NA","NA","comunidad",5,5,3,3,5,"Español","10","NA","NA","1","NA","NA","NA","amigos",4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,2,1,2,5,6,1,5,4,4,1,6,5,3,1,3,2,23,5,100,30,20,8,9,11,12,15,5,5,8,18,7,11,2,1,3,80,55,28,32.5925925925926,-4.5925925925926,2,11,17,28,90,205,5,5,10,22,2,1,2,3,3,1,1,2,2,1,1,15,9,1,4,29,16
"AG38S1015",2020-07-18,38,"H",5,"Agricultura","Diestro","si","union civil","Rural",250000,"Nunca/casi nunca","Si","NO","NO","Si",5,4,4,4,5,5,5,5,1,1,3,3,5,2,3,1,"30005","derecha","5","Resguardo",8,"si","Resguardo Hondura-Florencia",13,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","5","NA","NA","NA","comunidad",5,5,4,4,5,"Español","5","NA","NA","1","NA","NA","NA","Visitantes",4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,6,6,1,6,6,1,6,1,5,3,1,2,1,23,4,100,25,16,7,6,8,14,12,6,7,6,19,8,9,0,0,0,71,45,28,27.5431034482759,0.456896551724139,1,20,15,35,65,180,6,7,13,25,0,1,1,2,2,2,1,1,1,1,1,11,8,1,5,25,16
"AG32S3016",2020-07-18,32,"M",1,"Ama de casa","Diestro","si","union civil","Rural",50000,"Nunca/casi nunca","Si","NO","NO","Si",3,1,1,3,5,3,3,2,1,3,3,3,5,6,3,5,"32064","Derecha","4","Resguardo",8,"si","Florencia",10,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","5","NA","NA","NA","NA","Siempre",5,5,2,0,5,"Español","1","NA","4","NA","NA","NA","NA","Siempre",5,4,1,1,3,3,3,1,3,3,2,2,3,2,2,3,3,2,2,2,2,2,2,2,1,4,3,1,5,6,1,4,6,4,1,4,5,5,2,2,3,25,2,100,27,14,14,9,9,20,14,4,6,12,22,9,12,4,0,4,77,69,16,36.3904109589041,-20.3904109589041,3,5,20,25,67,202,5,5,10,24,5,5,3,5,5,3,1,3,3,4,1,27,10,1,13,51,16
"AG59S3017",2020-07-18,59,"M",0,"artesania","Diestro","si","Viudez","Rural",30000,"Nunca/casi nunca","Si","NO","NO","Si",4,4,4,5,5,5,5,5,2,2,2,3,5,2,2,1,"22509","derecha","NA","Resguardo",8,"si","Florencia",13,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","NA","NA","NA","NA","Siempre",5,5,3,3,5,"Español","8","NA","NA","NA","NA","NA","NA","Visitantes",4,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,5,3,1,3,3,1,5,6,5,1,5,5,3,3,1,4,22,8,100,20,8,6,7,8,8,6,4,3,5,12,6,10,2,1,3,30,32,25,15.4838709677419,9.51612903225806,0,16,21,37,95,374,2,1,3,12,1,1,2,2,2,1,1,1,1,1,1,11,9,1,4,25,16
"AG41S2018",2020-07-18,41,"M",6,"Ama de casa","Diestro","si","union civil","Rural",130000,"Nunca/casi nunca","NO","NO","NO","Si",4,4,2,2,5,5,5,5,1,2,3,3,5,4,3,1,"28986","derecha","3","Resguardo",7,"si","Florencia",12,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","4","4","NA","NA","Comunidad",5,5,3,3,5,"Español","8","NA","NA","1","1","NA","NA","amigos",4,3,4,4,3,3,3,2,3,3,3,3,2,3,3,3,3,2,1,2,1,1,1,2,2,2,2,2,5,5,2,2,4,4,1,4,4,1,4,1,4,26,1,100,23,12,9,5,8,14,15,6,5,6,17,7,12,0,0,0,70,51,28,29.504132231405,-1.50413223140496,0,15,16,31,60,295,5,4,9,15,2,3,2,2,4,4,1,1,1,1,1,16,9,1,7,33,16
"AG41S2019",2020-07-18,41,"M",7,"Ama de casa","Diestro","si","Casado/a","Rural",2e+05,"Nunca/casi nunca","NO","NO","NO","Si",4,4,3,5,4,5,5,5,1,2,3,3,5,4,3,1,"28736","derecha","8","Resguardo",7,"si","Florencia",14,"Florencia","No",NA,NA,"Embera","Embera","Embera",90,"Embera","Desde el nacimiento","NA","NA","5","5","NA","NA","Comunidad",5,5,5,5,5,"Español","10","NA","NA","1","1","NA","NA","Visitantes",4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,6,6,1,1,4,5,1,4,5,5,1,5,1,29,0,100,29,15,10,8,11,15,12,2,4,6,12,9,12,0,0,0,60,50,32,27.2727272727273,4.72727272727273,2,5,8,13,101,250,4,4,8,18,0,3,2,2,3,1,2,1,1,1,1,13,9,1,7,30,16
"AG48S3020",2020-07-18,48,"M",0,"artesania","Diestro","si","union civil","Rural",80000,"1-2 veces a la semana","Si","NO","NO","Si",5,3,3,5,5,5,4,5,1,2,3,3,5,5,1,1,"26139","derecha","NA","Resguardo",7,"si","Resguardo Hondura-Florencia",8,"florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","NA","NA","NA","NA","Comunidad",5,5,5,5,5,"Español","12","NA","NA","NA","NA","NA","NA","Visitantes",2,2,1,1,2,4,5,2,3,3,3,3,1,1,2,3,3,1,1,1,1,1,1,2,1,2,2,3,5,4,2,4,3,4,2,4,5,2,3,2,4,26,1,100,20,12,2,2,1,11,7,2,2,3,7,1,6,2,1,3,8,11,12,4.63157894736842,7.36842105263158,0,15,25,40,140,308,1,2,3,6,0,4,1,3,3,1,1,1,2,1,1,13,9,1,6,29,16
"AG39S1021",2020-07-04,39,"M",9,"Ama de casa","Diestro","si","soltero/a","Rural",50000,"1-2 veces a la semana","NO","NO","NO","Si",3,1,2,4,4,2,4,2,2,3,3,3,5,6,4,1,"29728","Derecha","7","Resguardo",7,"si","Resguardo Hondura-Florencia",14,"Florencia","No",NA,NA,"Embera","Embera","Embera",90,"Embera","Desde el nacimiento","NA","NA","5","5","5","NA","Comunidad",5,5,5,5,5,"Español","7","NA","NA","5","5","5","NA","Trabajo",4,5,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,2,1,2,3,1,6,6,1,1,4,6,1,4,3,4,3,3,4,27,8,100,35,20,10,4,8,14,13,3,5,3,11,9,12,0,0,0,86,76,26,40.3456790123457,19.3725490196078,0,10,26,36,51,280,6,4,10,36,0,5,3,5,4,2,2,4,2,4,1,26,11,1,10,48,16
